127.0.0.1 - - [28/Oct/2019:21:39:53 +0100] "GET / HTTP/1.1" 404 956
0:0:0:0:0:0:0:1 - - [28/Oct/2019:21:39:56 +0100] "GET /TrabajosObligatoriosAlexisCalderon/seleccionaFormaColorV0.jsp HTTP/1.1" 500 2678
0:0:0:0:0:0:0:1 - - [28/Oct/2019:21:39:58 +0100] "GET /favicon.ico HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [28/Oct/2019:21:42:21 +0100] "GET /TrabajosObligatoriosAlexisCalderon/seleccionaFormaColorV0.jsp HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [28/Oct/2019:21:42:22 +0100] "GET /favicon.ico HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [28/Oct/2019:21:49:34 +0100] "GET /TrabajosObligatoriosAlexisCalderon/seleccionaFormaColorV0.jsp HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [28/Oct/2019:21:49:35 +0100] "GET /favicon.ico HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [28/Oct/2019:21:55:14 +0100] "GET /TrabajosObligatoriosAlexisCalderon/seleccionaFormaColorV0.jsp HTTP/1.1" 500 3189
0:0:0:0:0:0:0:1 - - [28/Oct/2019:21:55:16 +0100] "GET /favicon.ico HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [28/Oct/2019:21:56:24 +0100] "GET /TrabajosObligatoriosAlexisCalderon/seleccionaFormaColorV0.jsp HTTP/1.1" 200 1272
0:0:0:0:0:0:0:1 - - [28/Oct/2019:21:56:25 +0100] "GET /favicon.ico HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [28/Oct/2019:21:56:27 +0100] "GET /TrabajosObligatoriosAlexisCalderon/seleccionaFormaColorV0.jsp HTTP/1.1" 200 1280
0:0:0:0:0:0:0:1 - - [28/Oct/2019:21:56:28 +0100] "GET /TrabajosObligatoriosAlexisCalderon/seleccionaFormaColorV0.jsp HTTP/1.1" 200 1270
0:0:0:0:0:0:0:1 - - [28/Oct/2019:21:56:29 +0100] "GET /TrabajosObligatoriosAlexisCalderon/seleccionaFormaColorV0.jsp HTTP/1.1" 200 1276
0:0:0:0:0:0:0:1 - - [28/Oct/2019:21:56:30 +0100] "GET /TrabajosObligatoriosAlexisCalderon/seleccionaFormaColorV0.jsp HTTP/1.1" 200 1270
0:0:0:0:0:0:0:1 - - [28/Oct/2019:21:56:31 +0100] "GET /TrabajosObligatoriosAlexisCalderon/seleccionaFormaColorV0.jsp HTTP/1.1" 200 1276
0:0:0:0:0:0:0:1 - - [28/Oct/2019:21:56:31 +0100] "GET /TrabajosObligatoriosAlexisCalderon/seleccionaFormaColorV0.jsp HTTP/1.1" 200 1280
0:0:0:0:0:0:0:1 - - [28/Oct/2019:21:56:32 +0100] "GET /TrabajosObligatoriosAlexisCalderon/seleccionaFormaColorV0.jsp HTTP/1.1" 200 1270
0:0:0:0:0:0:0:1 - - [28/Oct/2019:21:56:33 +0100] "GET /TrabajosObligatoriosAlexisCalderon/seleccionaFormaColorV0.jsp HTTP/1.1" 200 1274
0:0:0:0:0:0:0:1 - - [28/Oct/2019:21:56:34 +0100] "GET /TrabajosObligatoriosAlexisCalderon/seleccionaFormaColorV0.jsp HTTP/1.1" 200 1280
0:0:0:0:0:0:0:1 - - [28/Oct/2019:21:56:35 +0100] "GET /TrabajosObligatoriosAlexisCalderon/seleccionaFormaColorV0.jsp HTTP/1.1" 200 1276
0:0:0:0:0:0:0:1 - - [28/Oct/2019:21:59:35 +0100] "GET /TrabajosObligatoriosAlexisCalderon/seleccionaFormaColorV0.jsp HTTP/1.1" 500 2840
0:0:0:0:0:0:0:1 - - [28/Oct/2019:21:59:36 +0100] "GET /favicon.ico HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [28/Oct/2019:22:01:17 +0100] "GET /TrabajosObligatoriosAlexisCalderon/seleccionaFormaColorV0.jsp HTTP/1.1" 500 2864
0:0:0:0:0:0:0:1 - - [28/Oct/2019:22:01:19 +0100] "GET /favicon.ico HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [28/Oct/2019:22:06:22 +0100] "GET /TrabajosObligatoriosAlexisCalderon/seleccionaFormaColorV0.jsp HTTP/1.1" 200 4701
0:0:0:0:0:0:0:1 - - [28/Oct/2019:22:06:24 +0100] "GET /favicon.ico HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [28/Oct/2019:22:06:33 +0100] "GET /TrabajosObligatoriosAlexisCalderon/seleccionaFormaColorV0.jsp HTTP/1.1" 200 4703
